Appendix C. Traffic Count Data Sheets




                                   Appendix C - 1
Appendix C - 2
AC Transit East Bay BRT - Traffic Count Sheet Listing

Intersection                                            Page
51   W MacArthur Blvd. & Broadway                   134
52   Hawthorne Ave. & Telegraph Ave                 136
53   29th St & Telegraph Ave                        137
54   27th St. & Martin Luther King Jr. Wy.          140
55   27th St & Telegraph Ave                        142
56   27th St. & Broadway                            144
57   W Grand Ave. & Martin Luther King Jr. Wy.      147
58   W. Grand Ave & Telegraph Ave                   149
59   W Grand Ave. & Broadway                        153
60   20th St. & Telegraph Ave                       156
61   20th St. & Broadway                            158
62   14th St. & Broadway                            160
63   12th St. & Broadway                            162
64   11th St. & Broadway                            165
65   1st Ave & International                        168
66   2nd Ave. & E 12th St.                          170
67   2nd & International                            172
68   4th Ave. & E 12th St.                          174
69   4th Ave & International                        176
70   5th Ave. & E 12th St.                          178
71   5th & International                            180
72   7th Ave. & International                       182
73   8th Ave. & E 12th St.                          184
74   8th & International                            186
75   10th & International                           188
76   13th Ave. & International Blvd.                190
77   14th Ave. (West) & E 12th St.                  197
78   E 12th St. & 14th Ave. (West)                  201
79   14th Ave. (East) & International Blvd.         207
80   19th Ave. & International                      211
81   22nd Avenue & International                    215
82   23rd Avenue & International                    219


                                                          Appendix C - 4
83             29th Avenue & International            223
84             Fruitvale Ave. & E 12th                227
85             Fruitvale & International              229
86             Fruitvale Ave. & Foothill Blvd.        233
87             34th Avenue & International            235
88             35th Avenue & International            237
89             36th Ave. & International              239
90             38th Avenue & International            241
91             42nd Ave & International               243
92             High St. & San Leandro St.             247
93             High St & International                250
94             High St & Foothill Blvd.               254
95             46th Ave & International               256
96             Seminary Ave & International           258
97 and 979     66th Ave/Havenscourt & International   260
98             Hegenberger Rd. & San Leandro St.      264
99             Hegenberger Expwy & International      267
100            Hegenberger Rd. & Bancroft Ave.        269
101            81st Ave. & International              271
102 and 1029   82nd Ave & International               273
103            85th Ave. & International Blvd.        276
104            90th Ave. & International Blvd.        279
105            98th Ave. & San Leandro St.            281
106            98th Ave & International Blvd.         283
107            98th Ave. & Bancroft Ave.              285
108            105th Ave & International              287
109            Durant & E 14th Ave.                   279
110            San Leandro Blvd. & Total              291
111            Broadmoor & E 14th Ave.                293
112            Dutton Ave. & 14th                     295
113            Dutton Ave. & Bancroft Ave.            297
114            Haas Ave. & 14th                       299
115            Haas Ave. & Bancroft Ave.              303
116            San Leandro Blvd. & Total              295
117            Davis St. & San Leandro Blvd.          297
118            Davis St. & Hays St.                   309
119            Hays St. & 14th                        311
120            Davis St. & 14th                       315
121            Davis St. & Bancroft Ave.              318
122            Estudillo Ave. & 14th                  320
123            Estudillo Ave. & Bancroft Ave.         323
124            San Leandro Blvd & 14th                324



                                                            Appendix C - 5
                                                                                                                                                                  Traffic Research & Analysis, Inc.
                                                                                                                                                                    3844 East Indian School Road
                                                                                                                                                                                Phoenix, AZ 85018
                                                                                                                                                                                    (602) 840-1500




Intersection TMC:         0900424
Count Date:                  9/23/2009                                          From North                     From East                     From South     INTSEC
                                                                                                                                                                           From West
                                                                                SHATTUCK AVE      UNIVERSITY AVE W    SHATTUCK AVE      UNIVERSITY AVE W
                                                                        Time     LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped TOTAL
 AM                       708
                                                                        7:00       1  60     8  4    1   35    14  15    0   0     0  3   16   62    10  23     252
                                                                        7:15       4  62     6  8    4   23    31  25    0   0     0 13   11   57    27  43     314
08:00             84      600     24
                                                                        7:30       2  77   13  21    1   44    46  22    0   0     0 11    9   59    20  60     385
                                                                        7:45       7  93   16  18    6   54    64  24    0   0     0 29   13   75    22  53     474
                                                                        8:00      10 154   20  43    2   45    39  19    0   0     0 18   18   76    24  58     526
                                                     224
                                                                        8:15       2 177   23  49    4   64    60  28    0   0     0 19   14   65    41  92     638
                                                                        8:30       7 137   20  40   13   66    60  21    0   0     0 21   16   76    47  98     622
      64                                             249         494
                                                                        8:45       5 132   21  93    2   74    65  41    0   0     0 59   16   84    35 109     736
512   301                                               21

      147
                                                             N
                              0    0     0

                                   0
                                                                        Total     38       892   127     276     33      405   379   195          0      0     0     173    113      554   226    536    3947
                                                                        Peak      24       600    84     225     21      249   224   109          0      0     0     117     64      301   147    357    2522

                                                                        Time     LT       Thru   RT    Ped     LT       Thru   RT    Ped     LT       Thru   RT     Ped    LT       Thru   RT     Ped TOTAL
                              0
 MID               0          0    0


                                                        0

       0                                                0         0

 0     0                                                0

       0
                                                             N
                              0    0     0

                                   0
                                                                        Total         0      0     0       0        0      0     0       0        0      0     0       0        0      0      0      0      0
                                                                        Peak                                                                                                                                0

                                                                        Time     LT       Thru   RT Ped        LT Thru         RT Ped        LT       Thru   RT Ped        LT Thru         RT Ped TOTAL
 PM                       604
                                                                        16:00      3       109    17  48        13 135          81  35            0      0     0  38        31  58          66 141   775
                                                                        16:15      4       119    25  52        21 123          84  49            0      0     0  37        22  50          51 183   820
17:00             100     479     25
                                                                        16:30      2        98    25  33        15 121          98  41            0      0     0  31        36  65          63 170   798
                                                                        16:45     10       100    35  39        17 130          85  58            0      0     0  27        35  53          56 175   820
                                                                        17:00      6       123    26  40        11 115          99  53            0      0     0  28        23  65          53 165   807
                                                     489
                                                                        17:15      6       120    27  55        13 149         127  67            0      0     0  28        30  66          63 198   949
                                                                        17:30      3       134    26  43        15 135         130  54            0      0     0  38        44  76          65 157   920
      126                                            537         1083
                                                                        17:45     10       102    21  29        18 138         133  57            0      0     0  22        29  65          74 161   859
653   272                                               57

      255
                                                             N
                              0    0     0

                                   0
                                                                        Total     44       905   202     339    123 1046       837   414          0      0     0     249    250      498   491 1350      6748
                                                                        Peak      25       479   100     167     57 537        489   231          0      0     0     116    126      272   255 681       3535

Intersection Statistics                                                 Approach Statistics
Per   Peak Hour   Pk Hr Vol       Peak Intvl   Pk Intv Vol              Per     Peak Hour        Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol
AM     8:00 AM      2522           8:45 AM         736                  AM       8:00 AM            933         8:00 AM           603         8:00 AM           117         8:00 AM           869
MID                                                                     MID
PM     5:00 PM         3535       5:15 PM         949                   PM       4:45 PM           793          5:00 PM          1314         4:00 PM          133          5:00 PM          1334

Comments                                                                Approach & Departure Volumes (No Peds)
                                                                        Per     Approach          Depart       Approach         Depart       Approach         Depart       Approach         Depart
                                                                        AM        1057             492           817             592            0              1151          893             532
                                                                        MID        0                0             0               0             0               0             0               0
                                                                        PM        1151             1087          2006            542            0              1519          1239            1248




                                                                                                 0900424.TMC                                                                               Page 1 of 1
                                                                                                                                                                             Appendix C - 6
                                                                                                                                                               Traffic Research & Analysis, Inc.
                                                                                                                                                                 3844 East Indian School Road
                                                                                                                                                                             Phoenix, AZ 85018
                                                                                                                                                                                 (602) 840-1500




Intersection TMC:       R900424
Count Date:               10/27/2009                                       From North                       From East                     From South
                                                                                                                                                   INTSEC
                                                                                                                                                                        From West
                                                                           SHATTUCK AVE     UNIVERSITY AVE W   SHATTUCK AVE     UNIVERSITY AVE W
                                                                   Time     LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped TOTAL
 AM                         27
                                                                   8:00       9   0     0 0    0    0    0   0    0   0     0 0    0   63    0   0     72
                                                                   8:15       3   0     0 0    0    0    0   0    0   0     0 0    0   48    0   0     51
08:00             0         0    27
                                                                   8:30       6   0     0 0    0    0    0   0    0   0     0 0    0   59    0   0     65
                                                                   8:45       9   0     0 0    0    0    0   0    0   0     0 0    0   58    0   0     67
                                                       0

       0                                               0       0

228   228                                              0

       0
                                                           N
                            0     0     0

                                  0
                                                                   Total     27         0     0         0        0      0     0       0        0      0     0       0        0    228      0      0   255
                                                                   Peak      27         0     0         0        0      0     0       0        0      0     0       0        0    228      0      0   255

                                                                   Time     LT       Thru   RT        Ped   LT       Thru   RT    Ped     LT       Thru   RT     Ped    LT       Thru   RT     Ped TOTAL
                            0
 MID              0         0     0


                                                       0

       0                                               0       0

 0     0                                               0

       0
                                                           N
                            0     0     0

                                  0
                                                                   Total         0      0     0         0        0      0     0       0        0      0     0       0        0      0      0      0     0
                                                                   Peak                                                                                                                                 0

                                                                   Time     LT       Thru   RT Ped          LT       Thru   RT Ped        LT       Thru   RT Ped        LT       Thru   RT Ped TOTAL
 PM                         28
                                                                   17:00         5      0     0   0              0      0     0   0            0      0     0   0            0     74     0   0   79
                                                                   17:15         7      0     0   0              0      0     0   0            0      0     0   0            0     74     0   0   81
17:00             0         0    28
                                                                   17:30         9      0     0   0              0      0     0   0            0      0     0   0            0     69     0   0   78
                                                                   17:45         7      0     0   0              0      0     0   0            0      0     0   0            0     87     0   0   94
                                                       0

       0                                               0       0

304   304                                              0

       0
                                                           N
                            0     0     0

                                  0
                                                                   Total     28         0     0         0        0      0     0       0        0      0     0       0        0    304      0      0   332
                                                                   Peak      28         0     0         0        0      0     0       0        0      0     0       0        0    304      0      0   332

Intersection Statistics                                            Approach Statistics
Per   Peak Hour   Pk Hr Vol      Peak Intvl   Pk Intv Vol          Per     Peak Hour        Pk Hr Vol       Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol
AM     8:00 AM       255          8:00 AM         72               AM       8:00 AM            27                                                                        8:00 AM           228
MID                                                                MID
PM     5:00 PM        332        5:45 PM          94               PM       5:00 PM              28                                                                      5:00 PM           304

Comments                                                           Approach & Departure Volumes (No Peds)
                                                                   Per     Approach          Depart         Approach         Depart       Approach         Depart       Approach         Depart
                                                                   AM         27               0               0              255            0               0            228              0
                                                                   MID        0                0               0               0             0               0             0               0
                                                                   PM         28               0               0              332            0               0            304              0




                                                                                            R900424.TMC                                                                                 Page 1 of 1
                                                                                                                                                                          Appendix C - 7
                                                                                                                                                                  Traffic Research & Analysis, Inc.
                                                                                                                                                                    3844 East Indian School Road
                                                                                                                                                                                Phoenix, AZ 85018
                                                                                                                                                                                    (602) 840-1500




Intersection TMC:          B900424
Count Date:                   9/23/2009                                     From North                       From East                       From South
                                                                                                                                                    INTSEC
                                                                                                                                                                           From West
                                                                            SHATTUCK AVE     UNIVERSITY AVE W   SHATTUCK AVE     UNIVERSITY AVE W
                                                                    Time     LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped TOTAL
 AM                        30
                                                                    7:00       0   5     0 0    0    0     1  0    0   0     0 0    0    0     1  0      7
                                                                    7:15       0   8     0 0    1    1     2  0    0   0     0 0    2    0     1  0     15
07:45             2        27    1
                                                                    7:30       0   2     0 0    1    0     1  0    0   0     0 0    0    0     0  0      4
                                                                    7:45       1   7     0 0    3    1     1  0    0   0     0 0    0    2     1  0     16
                                                                    8:00       0   8     0 0    3    3     2  0    0   0     0 0    0    1     1  0     18
                                                      4
                                                                    8:15       0   6     0 0    1    1     1  0    0   0     0 0    0    2     0  0     11
                                                                    8:30       0   6     2 0    1    3     0  0    0   0     0 0    1    5     0  0     18
       1                                              8        20
                                                                    8:45       1   7     0 0    1    2     0  0    0   0     0 0    0    2     0  0     13
 13   10                                              8

       2
                                                           N
                           0     0     0

                                 0
                                                                    Total         2     49     2         0     11       11     8         0        0      0     0       0        3     12      4        0   102
                                                                    Peak          1     27     2         0      8        8     4         0        0      0     0       0        1     10      2        0    63

                                                                    Time     LT       Thru   RT        Ped   LT       Thru   RT        Ped   LT       Thru   RT     Ped    LT       Thru   RT        Ped TOTAL
                           0
 MID              0        0     0


                                                      0

       0                                              0        0

 0     0                                              0

       0
                                                           N
                           0     0     0

                                 0
                                                                    Total         0      0     0         0        0      0     0         0        0      0     0       0        0      0      0        0     0
                                                                    Peak                                                                                                                                     0

                                                                    Time     LT       Thru   RT Ped          LT       Thru   RT Ped          LT       Thru   RT Ped        LT       Thru   RT Ped TOTAL
 PM                        40
                                                                    16:00         0     10     1   0              1      5     1   0              0      0     0   0            0      0     1   0   19
                                                                    16:15         0      6     0   0              0      2     2   0              0      0     0   0            0      2     0   0   12
16:45             1        38    1
                                                                    16:30         0      8     0   0              1      4     0   0              0      0     0   0            0      2     1   0   16
                                                                    16:45         0     18     0   0              2      4     3   0              0      0     0   0            0      3     2   0   32
                                                                    17:00         1      7     1   0              2      8     3   0              0      0     0   0            1      2     1   0   26
                                                      9
                                                                    17:15         0      9     0   0              1      6     1   0              0      0     0   0            0      1     0   0   18
                                                                    17:30         0      4     0   0              5      5     2   0              0      0     0   0            0      2     2   0   20
       1                                              23       42
                                                                    17:45         0      8     0   0              2      5     1   0              0      0     0   0            0      0     1   0   17
 14    8                                              10

       5
                                                           N
                           0     0     0

                                 0
                                                                    Total         1     70     2         0     14       39    13         0        0      0     0       0        1     12      8        0   160
                                                                    Peak          1     38     1         0     10       23     9         0        0      0     0       0        1      8      5        0    96

Intersection Statistics                                             Approach Statistics
Per   Peak Hour   Pk Hr Vol     Peak Intvl   Pk Intv Vol            Per     Peak Hour        Pk Hr Vol       Peak Hour       Pk Hr Vol       Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol
AM     7:45 AM       63          8:00 AM         18                 AM       7:45 AM            30            7:45 AM           20                                          7:45 AM           13
MID                                                                 MID
PM     4:45 PM        96        4:45 PM          32                 PM       4:30 PM              44          4:45 PM             42                                        4:15 PM             14

Comments                                                            Approach & Departure Volumes (No Peds)
                                                                    Per     Approach          Depart         Approach         Depart         Approach         Depart       Approach         Depart
                                                                    AM         53               11              30              14              0               64            19              13
                                                                    MID        0                0               0               0               0               0             0               0
                                                                    PM         73               14              66              13              0               92            21              41




                                                                                             B900424.TMC                                                                                   Page 1 of 1
                                                                                                                                                                             Appendix C - 8
                                                                                                                                                                Traffic Research & Analysis, Inc.
                                                                                                                                                                  3844 East Indian School Road
                                                                                                                                                                              Phoenix, AZ 85018
                                                                                                                                                                                  (602) 840-1500




Intersection TMC:        0900425
Count Date:                 9/23/2009                                        From North                     From East                      From South                    From West
                                                                                                                                                                    INTSEC
                                                                             NONE                           UNIVERSITY AVE E    SHATTUCK AVE     UNIVERSITY AVE E
                                                                     Time     LT Thru         RT Ped         LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped TOTAL
 AM                          0
                                                                     7:00       0   0           0   0          0   29     0   5   34   0   18  0    0 121      0  0     207
                                                                     7:15       0   0           0   0          0   21     0   1   67   0   22  0    0 131      0  0     242
08:00             0          0    0
                                                                     7:30       0   0           0   0          1   33     0   9   69   0   34  2    0 149      0  0     297
                                                                     7:45       0   0           0   0          3   32     0   9 104    0   44  1    0 178      0  0     371
                                                                     8:00       0   0           0   0          0   29     0  25   69   0   40  0    0 141      0  0     304
                                                       0
                                                                     8:15       0   0           0   0          1   28     0   9 103    0   42  0    0 112      0  0     295
                                                                     8:30       0   0           0   0          3   42     0  15 130    0   52  0    0 155      0  0     397
       0                                            142        149
                                                                     8:45       0   0           0   0          3   43     0  69   79   0   53 24    0 173      0  0     444
581   581                                              7

       0
                                                           N
                         381      0    187

                                 568
                                                                     Total         0      0     0       0     11       257     0     142    655        0   305      27        0 1160        0      0   2557
                                                                     Peak          0      0     0       0      7       142     0     118    381        0   187      24        0 581         0      0   1440

                                                                     Time     LT       Thru   RT    Ped      LT       Thru   RT    Ped     LT       Thru   RT     Ped    LT       Thru   RT     Ped TOTAL
                             0
 MID              0          0    0


                                                       0

       0                                               0        0

 0     0                                               0

       0
                                                           N
                             0    0     0

                                  0
                                                                     Total         0      0     0       0         0      0     0       0        0      0     0       0        0      0      0      0      0
                                                                     Peak                                                                                                                                 0

                                                                     Time     LT       Thru   RT Ped         LT       Thru   RT Ped        LT Thru         RT Ped        LT       Thru   RT Ped TOTAL
 PM                          0
                                                                     16:00         0      0     0   0             0     80     0  45       146   0          46  16            0    103     0   0   436
                                                                     16:15         0      0     0   0             0     93     0  55       129   0          30  27            0    143     0   0   477
16:45             0          0    0
                                                                     16:30         0      0     0   0             0     75     0  22       173   0          59  10            0    143     0   0   482
                                                                     16:45         0      0     0   0             0     76     0  50       147   0          49  24            0    158     0   0   504
                                                                     17:00         0      0     0   0             0     62     0  15       162   0          46  33            0    145     0   0   463
                                                       0
                                                                     17:15         0      0     0   0             0     90     0  42       196   0          37  37            0    140     0   0   542
                                                                     17:30         0      0     0   0             0     84     0  16       198   0          59  30            0    137     0   0   524
       0                                            312        312
                                                                     17:45         0      0     0   0             0     94     0  34       190   0          52  25            0     33     0   0   428
580   580                                              0

       0
                                                           N
                         703      0    191

                                 894
                                                                     Total         0      0     0       0         0    654     0     279 1341          0   378     202        0 1002        0      0   3856
                                                                     Peak          0      0     0       0         0    312     0     123 703           0   191     124        0 580         0      0   2033

Intersection Statistics                                              Approach Statistics
Per   Peak Hour   Pk Hr Vol      Peak Intvl   Pk Intv Vol            Per     Peak Hour        Pk Hr Vol     Peak Hour        Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol
AM     8:00 AM      1440          8:45 AM         444                AM                                      8:00 AM            267         8:00 AM           592         7:15 AM           599
MID                                                                  MID
PM     4:45 PM        2033       5:15 PM         542                 PM                                      4:00 PM           496          5:00 PM          1065         4:15 PM           589

Comments                                                             Approach & Departure Volumes (No Peds)
                                                                     Per     Approach          Depart       Approach          Depart       Approach         Depart       Approach         Depart
                                                                     AM         0                0            268              1465          960              11           1160            912
                                                                     MID        0                0             0                0             0               0             0               0
                                                                     PM         0                0            654              1380          1719             0            1002            1995




                                                                                              0900425.TMC                                                                                Page 1 of 1
                                                                                                                                                                           Appendix C - 9
                                                                                                                                                            Traffic Research & Analysis, Inc.
                                                                                                                                                              3844 East Indian School Road
                                                                                                                                                                          Phoenix, AZ 85018
                                                                                                                                                                              (602) 840-1500




Intersection TMC:       R900425
Count Date:               10/27/2009                                      From North                     From East                     From South INTSEC
                                                                                                                                                                     From West
                                                                          SHATTUCK AVE     UNIVERSITY AVE E   SHATTUCK AVE     UNIVERSITY AVE E
                                                                  Time     LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped TOTAL
 AM                         0
                                                                  8:00       0   0     0 0    0    0     0  0    0   0     0 0    0   72     0  0     72
                                                                  8:15       0   0     0 0    0    0     0  0    0   0     0 0    0   51     0  0     51
08:00             0         0    0
                                                                  8:30       0   0     0 0    0    0     0  0    0   0     0 0    0   65     0  0     65
